time,1,2,3,4,5,6,7
2013-04-05 00:00:00,-0.303,-0.303,-0.303,-0.303,-0.303,-0.303,-0.303
2013-04-05 01:00:00,-0.312,-0.312,-0.312,-0.312,-0.312,-0.312,-0.312
2013-04-05 02:00:00,-0.316,-0.316,-0.316,-0.316,-0.316,-0.316,-0.316
2013-04-05 03:00:00,-0.312,-0.312,-0.312,-0.312,-0.312,-0.312,-0.312
2013-04-05 04:00:00,-0.311,-0.311,-0.311,-0.311,-0.311,-0.311,-0.311
2013-04-05 05:00:00,-0.309,-0.309,-0.309,-0.309,-0.309,-0.309,-0.309
2013-04-05 06:00:00,-0.297,-0.297,-0.297,-0.297,-0.297,-0.297,-0.297
2013-04-05 07:00:00,-0.280,-0.280,-0.280,-0.280,-0.280,-0.280,-0.280
2013-04-05 08:00:00,-0.268,-0.268,-0.268,-0.268,-0.268,-0.268,-0.268
2013-04-05 09:00:00,-0.260,-0.260,-0.260,-0.260,-0.260,-0.260,-0.260
2013-04-05 10:00:00,-0.254,-0.254,-0.254,-0.254,-0.254,-0.254,-0.254
2013-04-05 11:00:00,-0.252,-0.252,-0.252,-0.252,-0.252,-0.252,-0.252
2013-04-05 12:00:00,-0.257,-0.257,-0.257,-0.257,-0.257,-0.257,-0.257
2013-04-05 13:00:00,-0.266,-0.266,-0.266,-0.266,-0.266,-0.266,-0.266
2013-04-05 14:00:00,-0.278,-0.278,-0.278,-0.278,-0.278,-0.278,-0.278
2013-04-05 15:00:00,-0.276,-0.276,-0.276,-0.276,-0.276,-0.276,-0.276
2013-04-05 16:00:00,-0.280,-0.280,-0.280,-0.280,-0.280,-0.280,-0.280
2013-04-05 17:00:00,-0.273,-0.273,-0.273,-0.273,-0.273,-0.273,-0.273
2013-04-05 18:00:00,-0.260,-0.260,-0.260,-0.260,-0.260,-0.260,-0.260
2013-04-05 19:00:00,-0.250,-0.250,-0.250,-0.250,-0.250,-0.250,-0.250
2013-04-05 20:00:00,-0.242,-0.242,-0.242,-0.242,-0.242,-0.242,-0.242
2013-04-05 21:00:00,-0.235,-0.235,-0.235,-0.235,-0.235,-0.235,-0.235
2013-04-05 22:00:00,-0.229,-0.229,-0.229,-0.229,-0.229,-0.229,-0.229
2013-04-05 23:00:00,-0.234,-0.234,-0.234,-0.234,-0.234,-0.234,-0.234
2013-04-06 00:00:00,-0.252,-0.252,-0.252,-0.252,-0.252,-0.252,-0.252
2013-04-06 01:00:00,-0.274,-0.274,-0.274,-0.274,-0.274,-0.274,-0.274
2013-04-06 02:00:00,-0.277,-0.277,-0.277,-0.277,-0.277,-0.277,-0.277
2013-04-06 03:00:00,-0.285,-0.285,-0.285,-0.285,-0.285,-0.285,-0.285
2013-04-06 04:00:00,-0.292,-0.292,-0.292,-0.292,-0.292,-0.292,-0.292
2013-04-06 05:00:00,-0.294,-0.294,-0.294,-0.294,-0.294,-0.294,-0.294
2013-04-06 06:00:00,-0.282,-0.282,-0.282,-0.282,-0.282,-0.282,-0.282
2013-04-06 07:00:00,-0.269,-0.269,-0.269,-0.269,-0.269,-0.269,-0.269
2013-04-06 08:00:00,-0.265,-0.265,-0.265,-0.265,-0.265,-0.265,-0.265
2013-04-06 09:00:00,-0.252,-0.252,-0.252,-0.252,-0.252,-0.252,-0.252
2013-04-06 10:00:00,-0.242,-0.242,-0.242,-0.242,-0.242,-0.242,-0.242
2013-04-06 11:00:00,-0.244,-0.244,-0.244,-0.244,-0.244,-0.244,-0.244
2013-04-06 12:00:00,-0.264,-0.264,-0.264,-0.264,-0.264,-0.264,-0.264
2013-04-06 13:00:00,-0.279,-0.279,-0.279,-0.279,-0.279,-0.279,-0.279
