time,mag,dir
2013-04-04 23:00:00,5.678,52.566
2013-04-05 00:00:00,6.084,47.588
2013-04-05 01:00:00,6.536,43.267
2013-04-05 02:00:00,6.840,41.727
2013-04-05 03:00:00,7.098,41.809
2013-04-05 04:00:00,7.025,40.426
2013-04-05 05:00:00,7.032,36.306
2013-04-05 06:00:00,7.094,32.055
2013-04-05 07:00:00,6.770,27.473
2013-04-05 08:00:00,6.825,23.996
2013-04-05 09:00:00,6.726,18.444
2013-04-05 10:00:00,6.972,22.514
2013-04-05 11:00:00,5.885,15.895
2013-04-05 12:00:00,5.243,5.549
2013-04-05 13:00:00,5.217,353.954
2013-04-05 14:00:00,5.415,352.072
2013-04-05 15:00:00,5.793,358.000
2013-04-05 16:00:00,6.049,8.315
2013-04-05 17:00:00,6.160,17.695
2013-04-05 18:00:00,6.291,23.818
2013-04-05 19:00:00,6.147,24.390
2013-04-05 20:00:00,5.500,19.763
2013-04-05 21:00:00,5.287,12.555
2013-04-05 22:00:00,5.828,8.422
2013-04-05 23:00:00,6.118,4.959
2013-04-06 00:00:00,6.479,5.334
2013-04-06 01:00:00,6.629,7.545
2013-04-06 02:00:00,6.510,10.457
2013-04-06 03:00:00,6.052,11.867
2013-04-06 04:00:00,5.879,14.272
2013-04-06 05:00:00,5.602,18.286
2013-04-06 06:00:00,5.282,18.947
2013-04-06 07:00:00,4.655,16.485
2013-04-06 08:00:00,4.231,12.159
2013-04-06 09:00:00,3.867,358.517
2013-04-06 10:00:00,4.186,345.266
2013-04-06 11:00:00,5.058,329.446
2013-04-06 12:00:00,5.615,323.712
2013-04-06 13:00:00,6.065,319.978
2013-04-06 14:00:00,6.619,318.041
2013-04-06 15:00:00,7.142,318.239
2013-04-06 16:00:00,7.394,321.256
2013-04-06 17:00:00,7.075,324.204
2013-04-06 18:00:00,6.466,328.027
2013-04-06 19:00:00,5.746,328.719
2013-04-06 20:00:00,5.111,325.239
2013-04-06 21:00:00,4.851,320.423
2013-04-06 22:00:00,4.715,309.218
2013-04-06 23:00:00,5.030,297.847
2013-04-07 00:00:00,4.962,290.148
2013-04-07 01:00:00,4.437,281.212
2013-04-07 02:00:00,4.131,267.001
2013-04-07 03:00:00,4.527,249.089
2013-04-07 04:00:00,5.391,235.706
2013-04-07 05:00:00,6.362,230.271
2013-04-07 06:00:00,6.873,226.477
2013-04-07 07:00:00,7.108,225.321
2013-04-07 08:00:00,7.042,227.733
2013-04-07 09:00:00,7.088,231.991
2013-04-07 10:00:00,6.471,245.377
2013-04-07 11:00:00,7.006,254.210
2013-04-07 12:00:00,7.319,261.914
2013-04-07 13:00:00,7.352,262.261
2013-04-07 14:00:00,7.417,264.008
2013-04-07 15:00:00,7.572,267.174
2013-04-07 16:00:00,7.462,265.986
2013-04-07 17:00:00,7.212,258.729
2013-04-07 18:00:00,7.104,249.955
2013-04-07 19:00:00,7.326,243.383
2013-04-07 20:00:00,7.703,240.913
2013-04-07 21:00:00,7.939,241.640
2013-04-07 22:00:00,7.341,244.943
2013-04-07 23:00:00,7.292,243.561
2013-04-08 00:00:00,7.145,240.253
2013-04-08 01:00:00,6.677,235.345
2013-04-08 02:00:00,6.362,225.290
2013-04-08 03:00:00,6.702,218.554
2013-04-08 04:00:00,6.611,206.856
2013-04-08 05:00:00,7.245,203.442
2013-04-08 06:00:00,8.142,216.873
2013-04-08 07:00:00,8.726,234.976
2013-04-08 08:00:00,8.509,257.252
2013-04-08 09:00:00,7.605,277.473
2013-04-08 10:00:00,6.914,293.687
2013-04-08 11:00:00,7.010,307.800
2013-04-08 12:00:00,7.160,309.592
2013-04-08 13:00:00,7.563,307.368
2013-04-08 14:00:00,7.858,307.483
2013-04-08 15:00:00,7.871,309.701
2013-04-08 16:00:00,7.526,312.039
2013-04-08 17:00:00,7.124,313.472
2013-04-08 18:00:00,6.691,317.234
2013-04-08 19:00:00,6.139,319.992
2013-04-08 20:00:00,5.489,322.449
2013-04-08 21:00:00,4.993,324.688
2013-04-08 22:00:00,4.077,330.706
2013-04-08 23:00:00,3.734,330.556
2013-04-09 00:00:00,3.529,331.015
2013-04-09 01:00:00,3.337,332.893
2013-04-09 02:00:00,3.501,341.408
2013-04-09 03:00:00,3.125,349.488
2013-04-09 04:00:00,2.223,353.218
2013-04-09 05:00:00,2.084,5.621
2013-04-09 06:00:00,2.342,17.681
2013-04-09 07:00:00,2.317,28.888
