time,waterlevel_m
2013-11-01 00:00:00,0.058
2013-11-01 01:00:00,0.050
2013-11-01 02:00:00,0.047
2013-11-01 03:00:00,0.052
2013-11-01 04:00:00,0.057
2013-11-01 05:00:00,0.065
2013-11-01 06:00:00,0.073
2013-11-01 07:00:00,0.100
2013-11-01 08:00:00,0.123
2013-11-01 09:00:00,0.143
2013-11-01 10:00:00,0.160
2013-11-01 11:00:00,0.189
2013-11-01 12:00:00,0.222
2013-11-01 13:00:00,0.236
2013-11-01 14:00:00,0.252
2013-11-01 15:00:00,0.258
2013-11-01 16:00:00,0.248
2013-11-01 17:00:00,0.236
2013-11-01 18:00:00,0.228
2013-11-01 19:00:00,0.201
2013-11-01 20:00:00,0.173
2013-11-01 21:00:00,0.158
2013-11-01 22:00:00,0.172
2013-11-01 23:00:00,0.183
2013-11-02 00:00:00,0.174
2013-11-02 01:00:00,0.174
2013-11-02 02:00:00,0.173
2013-11-02 03:00:00,0.156
2013-11-02 04:00:00,0.136
2013-11-02 05:00:00,0.107
2013-11-02 06:00:00,0.093
2013-11-02 07:00:00,0.086
2013-11-02 08:00:00,0.091
2013-11-02 09:00:00,0.087
2013-11-02 10:00:00,0.112
2013-11-02 11:00:00,0.138
2013-11-02 12:00:00,0.163
2013-11-02 13:00:00,0.192
2013-11-02 14:00:00,0.200
2013-11-02 15:00:00,0.209
2013-11-02 16:00:00,0.212
2013-11-02 17:00:00,0.208
2013-11-02 18:00:00,0.210
2013-11-02 19:00:00,0.219
2013-11-02 20:00:00,0.241
2013-11-02 21:00:00,0.276
2013-11-02 22:00:00,0.306
2013-11-02 23:00:00,0.319
2013-11-03 00:00:00,0.328
2013-11-03 01:00:00,0.337
2013-11-03 02:00:00,0.330
2013-11-03 03:00:00,0.309
2013-11-03 04:00:00,0.285
2013-11-03 05:00:00,0.267
2013-11-03 06:00:00,0.260
2013-11-03 07:00:00,0.236
2013-11-03 08:00:00,0.241
2013-11-03 09:00:00,0.241
2013-11-03 10:00:00,0.238
2013-11-03 11:00:00,0.244
2013-11-03 12:00:00,0.253
2013-11-03 13:00:00,0.248
2013-11-03 14:00:00,0.253
2013-11-03 15:00:00,0.267
2013-11-03 16:00:00,0.282
2013-11-03 17:00:00,0.288
2013-11-03 18:00:00,0.304
2013-11-03 19:00:00,0.319
2013-11-03 20:00:00,0.341
2013-11-03 21:00:00,0.348
2013-11-03 22:00:00,0.348
2013-11-03 23:00:00,0.358
2013-11-04 00:00:00,0.360
2013-11-04 01:00:00,0.373
2013-11-04 02:00:00,0.365
2013-11-04 03:00:00,0.332
2013-11-04 04:00:00,0.297
2013-11-04 05:00:00,0.272
2013-11-04 06:00:00,0.254
2013-11-04 07:00:00,0.227
2013-11-04 08:00:00,0.193
2013-11-04 09:00:00,0.154
2013-11-04 10:00:00,0.149
2013-11-04 11:00:00,0.132
2013-11-04 12:00:00,0.120
2013-11-04 13:00:00,0.111
2013-11-04 14:00:00,0.075
2013-11-04 15:00:00,0.045
2013-11-04 16:00:00,0.023
2013-11-04 17:00:00,-0.009
2013-11-04 18:00:00,-0.016
2013-11-04 19:00:00,0.012
2013-11-04 20:00:00,0.053
2013-11-04 21:00:00,0.103
2013-11-04 22:00:00,0.157
2013-11-04 23:00:00,0.207
2013-11-05 00:00:00,0.249
2013-11-05 01:00:00,0.285
2013-11-05 02:00:00,0.310
2013-11-05 03:00:00,0.327
2013-11-05 04:00:00,0.368
2013-11-05 05:00:00,0.413
2013-11-05 06:00:00,0.415
2013-11-05 07:00:00,0.378
2013-11-05 08:00:00,0.324
2013-11-05 09:00:00,0.321
2013-11-05 10:00:00,0.339
2013-11-05 11:00:00,0.350
2013-11-05 12:00:00,0.345
2013-11-05 13:00:00,0.337
2013-11-05 14:00:00,0.321
2013-11-05 15:00:00,0.302
2013-11-05 16:00:00,0.274
2013-11-05 17:00:00,0.246
2013-11-05 18:00:00,0.212
2013-11-05 19:00:00,0.204
2013-11-05 20:00:00,0.191
2013-11-05 21:00:00,0.188
2013-11-05 22:00:00,0.193
2013-11-05 23:00:00,0.191
2013-11-06 00:00:00,0.177
2013-11-06 01:00:00,0.176
2013-11-06 02:00:00,0.183
2013-11-06 03:00:00,0.190
2013-11-06 04:00:00,0.204
2013-11-06 05:00:00,0.230
2013-11-06 06:00:00,0.253
2013-11-06 07:00:00,0.270
2013-11-06 08:00:00,0.269
2013-11-06 09:00:00,0.275
2013-11-06 10:00:00,0.300
2013-11-06 11:00:00,0.338
2013-11-06 12:00:00,0.357
2013-11-06 13:00:00,0.364
2013-11-06 14:00:00,0.365
2013-11-06 15:00:00,0.367
2013-11-06 16:00:00,0.362
2013-11-06 17:00:00,0.338
2013-11-06 18:00:00,0.324
2013-11-06 19:00:00,0.314
2013-11-06 20:00:00,0.308
2013-11-06 21:00:00,0.301
2013-11-06 22:00:00,0.303
2013-11-06 23:00:00,0.315
2013-11-07 00:00:00,0.320
2013-11-07 01:00:00,0.315
2013-11-07 02:00:00,0.310
2013-11-07 03:00:00,0.308
2013-11-07 04:00:00,0.299
2013-11-07 05:00:00,0.290
2013-11-07 06:00:00,0.278
